freq,unit,tra_meas,schedule,tra_cov,rep_airp\TIME_PERIOD,2022_value,2022_flag,2022-01_value,2022-01_flag,2022-02_value,2022-02_flag,2022-03_value,2022-03_flag,2022-04_value,2022-04_flag,2022-05_value,2022-05_flag,2022-06_value,2022-06_flag,2022-07_value,2022-07_flag,2022-08_value,2022-08_flag,2022-09_value,2022-09_flag,2022-10_value,2022-10_flag,2022-11_value,2022-11_flag,2022-12_value,2022-12_flag,2022-Q1_value,2022-Q1_flag,2022-Q2_value,2022-Q2_flag,2022-Q3_value,2022-Q3_flag,2022-Q4_value,2022-Q4_flag
A,FLIGHT,CAF_FRM,N_SCHED,INTL,AT_LOWG,15.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,N_SCHED,INTL_IEU27_2020,AT_LOWG,13.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,N_SCHED,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,N_SCHED,INTL_XEU27_2020,AT_LOWG,2.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,N_SCHED,INTL_XEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,N_SCHED,NAT,AT_LOWG,0.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,N_SCHED,TOTAL,AT_LOWG,15.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,SCHED,INTL,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,SCHED,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,SCHED,NAT,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,SCHED,TOTAL,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,TOT,INTL,AT_LOWG,15.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,TOT,INTL_IEU27_2020,AT_LOWG,13.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,TOT,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,TOT,INTL_XEU27_2020,AT_LOWG,2.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,TOT,INTL_XEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,TOT,NAT,AT_LOWG,0.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM,TOT,TOTAL,AT_LOWG,15.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,N_SCHED,INTL,AT_LOWG,10.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,N_SCHED,INTL_IEU27_2020,AT_LOWG,9.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,N_SCHED,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,N_SCHED,INTL_XEU27_2020,AT_LOWG,1.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,N_SCHED,INTL_XEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,N_SCHED,NAT,AT_LOWG,0.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,N_SCHED,TOTAL,AT_LOWG,10.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,SCHED,INTL,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,SCHED,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,SCHED,NAT,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,SCHED,TOTAL,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,TOT,INTL,AT_LOWG,10.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,TOT,INTL_IEU27_2020,AT_LOWG,9.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,TOT,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,TOT,INTL_XEU27_2020,AT_LOWG,1.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,TOT,INTL_XEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,TOT,NAT,AT_LOWG,0.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_ARR,TOT,TOTAL,AT_LOWG,10.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,N_SCHED,INTL,AT_LOWG,5.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,N_SCHED,INTL_IEU27_2020,AT_LOWG,4.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,N_SCHED,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,N_SCHED,INTL_XEU27_2020,AT_LOWG,1.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,N_SCHED,INTL_XEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,N_SCHED,NAT,AT_LOWG,0.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,N_SCHED,TOTAL,AT_LOWG,5.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,TOT,INTL,AT_LOWG,5.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,TOT,INTL_IEU27_2020,AT_LOWG,4.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,TOT,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,TOT,INTL_XEU27_2020,AT_LOWG,1.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,TOT,INTL_XEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,TOT,NAT,AT_LOWG,0.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,FLIGHT,CAF_FRM_DEP,TOT,TOTAL,AT_LOWG,5.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,N_SCHED,INTL,AT_LOWG,11.4,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,N_SCHED,INTL_IEU27_2020,AT_LOWG,10.5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,N_SCHED,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,N_SCHED,INTL_XEU27_2020,AT_LOWG,0.9,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,N_SCHED,INTL_XEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,N_SCHED,NAT,AT_LOWG,0.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,N_SCHED,TOTAL,AT_LOWG,11.4,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,SCHED,INTL,AT_LOWG,26.5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,SCHED,INTL_IEU27_2020,AT_LOWG,26.5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,SCHED,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,SCHED,INTL_XEU27_2020,AT_LOWG,0.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,SCHED,INTL_XEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,SCHED,NAT,AT_LOWG,3.3,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,SCHED,TOTAL,AT_LOWG,29.8,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,TOT,INTL,AT_LOWG,37.9,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,TOT,INTL_IEU27_2020,AT_LOWG,37.1,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,TOT,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,TOT,INTL_XEU27_2020,AT_LOWG,0.9,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,TOT,INTL_XEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,TOT,NAT,AT_LOWG,3.3,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD,TOT,TOTAL,AT_LOWG,41.2,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD_ARR,N_SCHED,INTL,AT_LOWG,7.3,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD_ARR,N_SCHED,INTL_IEU27_2020,AT_LOWG,6.7,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD_ARR,N_SCHED,INTL_IEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD_ARR,N_SCHED,INTL_XEU27_2020,AT_LOWG,0.6,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD_ARR,N_SCHED,INTL_XEU28,AT_LOWG,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
A,T,FRM_BRD_ARR,N_SCHED,NAT,AT_LOWG,0.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
