Year,Country_Icao,Airport_Name,value
2003,AT_LOWG,Graz Airport,880976.0
2003,AT_LOWI,Innsbruck Airport (Kranebitten Airport),699715.0
2003,AT_LOWK,Klagenfurt Airport,313957.0
2003,AT_LOWL,Linz Airport (Blue Danube Airport),673975.0
2003,AT_LOWS,Salzburg Airport,1294648.0
2003,AT_LOWW,Vienna International Airport,12803700.0
2003,BE_EBBR,Brussels Airport (Zaventem Airport),15199304.0
2003,CH_LSGG,Geneva Airport,8102547.0
2003,CH_LSGS,Sion Airport,4453.0
2003,CH_LSZA,Lugano Airport,164297.0
2003,CH_LSZB,Bern Airport,151387.0
2003,CH_LSZH,Zurich Airport,17073414.0
2003,CH_LSZR,St. Gallen-Altenrhein Airport,103321.0
2003,CY_LCLK,Larnaca International Airport,5121380.0
2003,CY_LCPH,Paphos International Airport,1784906.0
2003,CZ_LKKV,Karlovy Vary Airport,24714.0
2003,CZ_LKMT,Leos Janacek Airport,194123.0
2003,CZ_LKPR,Vaclav Havel Airport Prague,7446743.0
2003,CZ_LKTB,Brno-Turany Airport,189857.0
2003,DE_EDAC,Leipzig-Altenburg Airport,125.0
2003,DE_EDAH,Heringsdorf Airport,5869.0
2003,DE_EDBH,Stralsund-Barth Airport,195.0
2003,DE_EDCG,Rugen Airport (Guttin Airfield),75.0
2003,DE_EDDB,Berlin Brandenburg Airport,1812718.0
2003,DE_EDDB,Berlin Schonefeld Airport,1812718.0
2003,DE_EDDC,Dresden Airport,1599348.0
2003,DE_EDDE,Erfurt-Weimar Airport,439871.0
2003,DE_EDDF,Frankfurt Airport,48579396.0
2003,DE_EDDG,Munster Osnabruck International Airport,1542256.0
2003,DE_EDDH,Hamburg Airport,9631856.0
2003,DE_EDDK,Cologne Bonn Airport,7812396.0
2003,DE_EDDL,Dusseldorf Airport,14380021.0
2003,DE_EDDM,Munich Airport,24362233.0
2003,DE_EDDN,Nuremberg Airport,3343471.0
2003,DE_EDDP,Leipzig/Halle Airport,2035119.0
2003,DE_EDDR,Saarbrucken Airport,505822.0
2003,DE_EDDS,Stuttgart Airport,7688577.0
2003,DE_EDDT,Berlin Tegel Airport,11150055.0
2003,DE_EDDV,Hannover Airport,5119408.0
2003,DE_EDDW,Bremen Airport,1666684.0
2003,DE_EDFH,Frankfurt-Hahn Airport,2334761.0
