Country_Icao,Airport_Name,count,unique,top,freq,mean,std,min,25%,50%,75%,max
AT_LOWG,Graz Airport,20.0,,,,872575.4,246184.4025940076,201132.0,907477.25,960204.0,992959.0,1049248.0
AT_LOWI,Innsbruck Airport (Kranebitten Airport),20.0,,,,878784.7,243069.34300797028,126743.0,748671.5,976909.5,1011826.0,1151272.0
AT_LOWK,Klagenfurt Airport,20.0,,,,293914.55,145599.95403356524,29722.0,215376.25,274073.5,415246.0,524111.0
AT_LOWL,Linz Airport (Blue Danube Airport),20.0,,,,564152.95,237035.8492143896,52755.0,444885.5,608003.0,746464.25,844330.0
AT_LOWS,Salzburg Airport,20.0,,,,1582655.4,424559.24693788396,303746.0,1542566.0,1724561.0,1841963.5,1975784.0
AT_LOWW,Vienna International Airport,20.0,,,,19857100.95,5674227.80836462,7876108.0,16609480.75,20479758.5,23073806.25,31783420.0
BA_LQSA,Sarajevo International Airport,1.0,,,,756884.0,,756884.0,756884.0,756884.0,756884.0,756884.0
BA_LQTZ,Tuzla International Airport,1.0,,,,230775.0,,230775.0,230775.0,230775.0,230775.0,230775.0
BE_EBAW,Antwerp International Airport,17.0,,,,159263.17647058822,73961.10853198059,75662.0,110205.0,126002.0,221336.0,289621.0
BE_EBBR,Brussels Airport (Zaventem Airport),20.0,,,,18574541.75,4916594.590161802,6770442.0,16565277.5,18806152.5,21910653.0,26417507.0
BE_EBCI,Brussels South Charleroi Airport,19.0,,,,5196820.368421053,2356375.387402917,1863086.0,2736402.0,5882679.0,7117951.5,8257292.0
BE_EBLG,Liege Airport,17.0,,,,254096.23529411765,104691.03618895066,41639.0,164043.0,296411.0,310155.0,394625.0
BE_EBOS,Ostend-Bruges International Airport,16.0,,,,265591.75,101180.76667595148,102764.0,206471.75,228330.5,356263.75,445519.0
BG_LBBG,Burgas Airport,16.0,,,,2152110.9375,744649.44458436,419218.0,1839832.5,2295805.5,2609962.0,3266565.0
BG_LBSF,Sofia Airport,16.0,,,,4267191.25,1509245.5322545986,2739496.0,3261346.75,3483567.0,5221258.25,7085918.0
BG_LBWN,Varna Airport,16.0,,,,1451942.9375,408659.456079259,623223.0,1226666.0,1404235.5,1545012.25,2296047.0
CH_LSGG,Geneva Airport,20.0,,,,12419039.45,3727800.4063537675,5558340.0,9823435.5,12423270.0,15232333.75,17857519.0
CH_LSGS,Sion Airport,20.0,,,,5785.4,4927.259795742137,1339.0,3581.75,4649.0,6401.25,24555.0
CH_LSZA,Lugano Airport,20.0,,,,129463.0,62997.15584306794,275.0,123778.75,156687.0,167401.0,186945.0
CH_LSZB,Bern Airport,20.0,,,,121686.95,70442.48148329022,5629.0,85140.25,122291.5,168743.5,258511.0
CH_LSZH,Zurich Airport,20.0,,,,22323189.95,6099510.325693715,8314350.0,19175414.5,22717153.5,25699659.75,31510469.0
CH_LSZR,St. Gallen-Altenrhein Airport,20.0,,,,85565.25,28077.482644835745,22414.0,81375.5,94902.5,102171.25,115518.0
CY_LCLK,Larnaca International Airport,20.0,,,,5580108.8,1490083.0641284327,1695840.0,5108479.25,5388965.5,5819879.75,8370467.0
CY_LCPH,Paphos International Airport,20.0,,,,2073751.55,566947.1796627298,631983.0,1794078.5,1980211.5,2295934.75,3177855.0
CZ_LKKV,Karlovy Vary Airport,20.0,,,,51664.25,31929.585524655904,587.0,25043.25,48362.0,73373.25,103720.0
CZ_LKMT,Leos Janacek Airport,20.0,,,,289139.15,85234.82446578487,39749.0,268744.75,316484.5,334635.75,401819.0
CZ_LKPD,Pardubice Airport,14.0,,,,89443.92857142857,46821.19619518869,30002.0,58697.75,82985.5,120306.0,184158.0
CZ_LKPR,Vaclav Havel Airport Prague,20.0,,,,11307377.6,3410511.9530496234,3658145.0,10740595.25,11544853.0,12451881.25,17796640.0
CZ_LKTB,Brno-Turany Airport,20.0,,,,423515.2,145137.0047258796,85965.0,409239.0,478338.5,512462.0,587754.0
DE_EDAC,Leipzig-Altenburg Airport,8.0,,,,208.625,115.80887888487406,106.0,123.5,171.5,241.25,429.0
DE_EDAH,Heringsdorf Airport,8.0,,,,6076.125,4208.30310007999,1842.0,2750.0,4890.0,9007.75,13456.0
DE_EDBC,Magdeburg-Cochstedt Airport,1.0,,,,31.0,,31.0,31.0,31.0,31.0,31.0
DE_EDBH,Stralsund-Barth Airport,8.0,,,,77.5,71.50624348364873,6.0,28.5,55.0,107.25,195.0
DE_EDCG,Rugen Airport (Guttin Airfield),8.0,,,,73.25,42.38176831745327,24.0,46.25,72.0,85.5,151.0
DE_EDDB,Berlin Brandenburg Airport,20.0,,,,8104421.15,4098049.5504690534,1812718.0,6284061.5,7118100.0,10319213.0,19840576.0
DE_EDDC,Dresden Airport,20.0,,,,1586552.8,479832.6030129345,328513.0,1647492.75,1754315.0,1874860.5,1930977.0
DE_EDDE,Erfurt-Weimar Airport,20.0,,,,266514.1,119050.28044039563,28307.0,214007.0,270979.0,320203.75,498373.0
DE_EDDF,Frankfurt Airport,20.0,,,,53487975.8,12477672.530307956,18788995.0,51368507.25,54044868.0,59982701.0,70634781.0
DE_EDDG,Munster Osnabruck International Airport,20.0,,,,1100233.9,405232.350084154,218770.0,847738.75,1015077.0,1486917.25,1611830.0
DE_EDDH,Hamburg Airport,20.0,,,,12700878.05,3550614.6944639627,4564946.0,11004644.75,12938935.0,14987188.0,17650795.0
DE_EDDK,Cologne Bonn Airport,20.0,,,,9487896.05,2415686.2793490617,3084883.0,9005993.0,9702205.5,10408559.5,12962247.0
DE_EDDL,Dusseldorf Airport,20.0,,,,18504338.5,5069179.180450197,6576778.0,15943037.0,18594106.0,22016241.75,25496594.0
DE_EDDM,Munich Airport,20.0,,,,33959682.65,9847632.87861699,11116926.0,30275985.0,34667496.5,40108252.5,47963043.0
DE_EDDN,Nuremberg Airport,20.0,,,,3543006.3,954146.1439071888,907754.0,3338113.75,3834406.0,4102390.75,4469405.0
DE_EDDP,Leipzig/Halle Airport,20.0,,,,2262762.55,666562.1144087004,533557.0,2161299.25,2363042.0,2641157.75,3035073.0
DE_EDDR,Saarbrucken Airport,20.0,,,,426645.3,128608.09807444598,57547.0,388830.25,456436.5,504629.5,562388.0
DE_EDDS,Stuttgart Airport,20.0,,,,9200016.65,2351460.5779868253,3212663.0,8955282.75,9672876.0,10389204.25,12735648.0
DE_EDDT,Berlin Tegel Airport,18.0,,,,16276375.666666666,4946838.263748555,5871784.0,12219471.25,15995979.5,20636305.0,24230525.0
DE_EDDV,Hannover Airport,20.0,,,,5070708.4,1240920.555880631,1457842.0,5114581.75,5342328.5,5675792.5,6336715.0
DE_EDDW,Bremen Airport,20.0,,,,2124873.9,653499.8818076565,595215.0,1706393.0,2454981.0,2570215.5,2777950.0
DE_EDFH,Frankfurt-Hahn Airport,20.0,,,,2624905.25,981687.5012914657,493404.0,2294177.25,2735771.0,3118801.0,4072336.0
DE_EDFM,Mannheim City Airport,8.0,,,,68027.25,9365.9332652209,52413.0,66375.5,69873.0,70526.25,83558.0
DE_EDGS,Siegerland Airport,8.0,,,,333.75,268.71905137416024,131.0,157.75,250.0,370.0,942.0
DE_EDHI,Hamburg Finkenwerder Airport,8.0,,,,1350.25,1655.33921858072,27.0,125.5,347.0,2801.5,3835.0
DE_EDHK,Kiel Airport,8.0,,,,23200.625,31914.028652604888,202.0,259.25,3584.5,44999.0,82325.0
DE_EDHL,Lubeck Airport,13.0,,,,430517.8461538461,228698.33953917192,805.0,329079.0,529461.0,597379.0,701972.0
DE_EDJA,Memmingen Airport,16.0,,,,962793.125,461025.14964281867,84400.0,754134.75,880257.5,1039694.0,1988291.0
DE_EDLE,Essen/Mulheim Airport,8.0,,,,372.75,107.8818798501398,196.0,325.5,380.5,424.75,514.0
DE_EDLN,Dusseldorf Monchengladbach Airport,8.0,,,,248.5,97.13466351999608,147.0,179.5,206.0,335.0,407.0
DE_EDLP,Paderborn Lippstadt Airport,20.0,,,,821578.35,364008.4055125903,91634.0,699129.5,783514.5,1055323.75,1351198.0
DE_EDLV,Weeze Airport (Niederrhein Airport),20.0,,,,1424968.55,855940.3181005992,33321.0,587362.5,1596374.5,1984746.0,2896112.0
DE_EDLW,Dortmund Airport,20.0,,,,1847532.95,529157.2248656572,267600.0,1705709.0,1918915.0,2025920.75,2717583.0
DE_EDMA,Augsburg Airport,8.0,,,,14736.0,23233.29288511885,228.0,372.5,599.0,21084.5,57796.0
DE_EDMO,Oberpfaffenhofen Airport,8.0,,,,482.5,309.42111849618243,237.0,321.25,348.0,486.5,1156.0
DE_EDMS,Straubing Wallmuhle Airport,8.0,,,,75.125,24.186404091082718,45.0,63.0,68.0,81.75,113.0
DE_EDNY,Friedrichshafen Airport (Bodensee Airport),20.0,,,,460935.25,164260.11207545025,92342.0,454020.5,508124.0,556665.25,632489.0
DE_EDQD,Bindlacher Berg Airport,8.0,,,,75.0,55.06100512807849,37.0,43.5,50.0,77.0,187.0
DE_EDQM,Hof-Plauen Airport,8.0,,,,20971.875,3700.7645711007185,14138.0,19002.5,22606.5,23360.75,24663.0
DE_EDRZ,Zweibrucken Airport,7.0,,,,253125.85714285713,48658.532483791474,211407.0,214708.0,231838.0,285641.0,327938.0
DE_EDSB,Karlsruhe/Baden-Baden Airport,17.0,,,,1055352.294117647,252044.39340415923,388747.0,967624.0,1107811.0,1243909.0,1337565.0
DE_EDVE,Braunschweig-Wolfsburg Airport,8.0,,,,1989.75,345.7334852992155,1551.0,1865.0,1934.5,2068.25,2727.0
DE_EDVK,Kassel Airport,8.0,,,,347.5,125.15932703101733,248.0,263.0,300.5,379.75,616.0
DE_EDWB,Bremerhaven Airport,6.0,,,,99.66666666666667,67.50012345667722,2.0,59.75,106.5,139.0,189.0
DE_EDWD,Lemwerder Airport,2.0,,,,4.5,2.1213203435596424,3.0,3.75,4.5,5.25,6.0
DE_EDWE,Emden Airport,8.0,,,,162.75,116.01816360257685,36.0,65.0,149.0,243.0,326.0
DE_EDWG,Wangerooge Airport,8.0,,,,57.25,23.13161102412516,23.0,40.0,56.0,77.25,90.0
DE_EDWJ,Juist Airport,8.0,,,,122.5,28.804761511150993,92.0,102.75,110.5,143.5,174.0
DE_EDWL,Langeoog Airport,8.0,,,,39.875,16.89833043316917,12.0,34.0,44.0,49.0,63.0
DE_EDWR,Borkum Airfield,8.0,,,,20.875,16.513522597296696,6.0,6.0,19.0,28.5,53.0
DE_EDWS,Norddeich Airport,2.0,,,,2.5,2.1213203435596424,1.0,1.75,2.5,3.25,4.0
DE_EDWY,Norderney Airport,8.0,,,,39.75,7.44023809142845,30.0,33.75,40.0,45.0,51.0
DE_EDXB,Heide-Busum Airport,7.0,,,,17.857142857142858,13.692194509142443,7.0,8.0,10.0,26.0,40.0
DE_EDXF,Flensburg-Schaferhaus Airport,8.0,,,,46.5,26.6028999493342,15.0,30.25,38.0,63.0,90.0
