Week,Luas_Line,VALUE,Year
2019 Week 01,Red line,274139.0,2019
2019 Week 01,Green line,275394.0,2019
2019 Week 02,Red line,408199.0,2019
2019 Week 02,Green line,430823.0,2019
2019 Week 03,Red line,376785.0,2019
2019 Week 03,Green line,442574.0,2019
2019 Week 04,Red line,405224.0,2019
2019 Week 04,Green line,455521.0,2019
2019 Week 05,Red line,441197.0,2019
2019 Week 05,Green line,471598.0,2019
2019 Week 06,Red line,449398.0,2019
2019 Week 06,Green line,463215.0,2019
2019 Week 07,Red line,466795.0,2019
2019 Week 07,Green line,473682.0,2019
2019 Week 08,Red line,480974.0,2019
2019 Week 08,Green line,471317.0,2019
2019 Week 09,Red line,468299.0,2019
2019 Week 09,Green line,461093.0,2019
2019 Week 10,Red line,475467.0,2019
2019 Week 10,Green line,466451.0,2019
2019 Week 11,Red line,442796.0,2019
2019 Week 11,Green line,482201.0,2019
2019 Week 12,Red line,440137.0,2019
2019 Week 12,Green line,428068.0,2019
2019 Week 13,Red line,516298.0,2019
2019 Week 13,Green line,487573.0,2019
2019 Week 14,Red line,457616.0,2019
2019 Week 14,Green line,475959.0,2019
2019 Week 15,Red line,469346.0,2019
2019 Week 15,Green line,476316.0,2019
2019 Week 16,Red line,426377.0,2019
2019 Week 16,Green line,415809.0,2019
2019 Week 17,Red line,408238.0,2019
2019 Week 17,Green line,393058.0,2019
2019 Week 18,Red line,453764.0,2019
2019 Week 18,Green line,465491.0,2019
2019 Week 19,Red line,411312.0,2019
2019 Week 19,Green line,406621.0,2019
2019 Week 20,Red line,446595.0,2019
2019 Week 20,Green line,458388.0,2019
2019 Week 21,Red line,455929.0,2019
2019 Week 21,Green line,446486.0,2019
2019 Week 22,Red line,502622.0,2019
2019 Week 22,Green line,470403.0,2019
2019 Week 23,Red line,422419.0,2019
2019 Week 23,Green line,403850.0,2019
2019 Week 24,Red line,471816.0,2019
2019 Week 24,Green line,453700.0,2019
2019 Week 25,Red line,444675.0,2019
2019 Week 25,Green line,438533.0,2019
2019 Week 26,Red line,457342.0,2019
2019 Week 26,Green line,448295.0,2019
2019 Week 27,Red line,498818.0,2019
2019 Week 27,Green line,483470.0,2019
2019 Week 28,Red line,478360.0,2019
2019 Week 28,Green line,440798.0,2019
2019 Week 29,Red line,452205.0,2019
2019 Week 29,Green line,451753.0,2019
2019 Week 30,Red line,469191.0,2019
2019 Week 30,Green line,457300.0,2019
2019 Week 31,Red line,422939.0,2019
2019 Week 31,Green line,409513.0,2019
2019 Week 32,Red line,423004.0,2019
2019 Week 32,Green line,384389.0,2019
2019 Week 33,Red line,445915.0,2019
2019 Week 33,Green line,422762.0,2019
2019 Week 34,Red line,448568.0,2019
2019 Week 34,Green line,414371.0,2019
2019 Week 35,Red line,442634.0,2019
2019 Week 35,Green line,454721.0,2019
2019 Week 36,Red line,454849.0,2019
2019 Week 36,Green line,478513.0,2019
2019 Week 37,Red line,469489.0,2019
2019 Week 37,Green line,500329.0,2019
2019 Week 38,Red line,484461.0,2019
2019 Week 38,Green line,505662.0,2019
2019 Week 39,Red line,515967.0,2019
2019 Week 39,Green line,515970.0,2019
2019 Week 40,Red line,484015.0,2019
2019 Week 40,Green line,502144.0,2019
2019 Week 41,Red line,534986.0,2019
2019 Week 41,Green line,519763.0,2019
2019 Week 42,Red line,499959.0,2019
2019 Week 42,Green line,514057.0,2019
2019 Week 43,Red line,502241.0,2019
2019 Week 43,Green line,526281.0,2019
2019 Week 44,Red line,471553.0,2019
2019 Week 44,Green line,453032.0,2019
2019 Week 45,Red line,497796.0,2019
2019 Week 45,Green line,521908.0,2019
2019 Week 46,Red line,514523.0,2019
2019 Week 46,Green line,524302.0,2019
2019 Week 47,Red line,530882.0,2019
2019 Week 47,Green line,531392.0,2019
2019 Week 48,Red line,544022.0,2019
2019 Week 48,Green line,569646.0,2019
2019 Week 49,Red line,519257.0,2019
2019 Week 49,Green line,561534.0,2019
2019 Week 50,Red line,556229.0,2019
2019 Week 50,Green line,594869.0,2019
2019 Week 51,Red line,550775.0,2019
2019 Week 51,Green line,622699.0,2019
2019 Week 52,Red line,259211.0,2019
2019 Week 52,Green line,279301.0,2019
2020 Week 01,Red line,304607.0,2020
2020 Week 01,Green line,298391.0,2020
2020 Week 02,Red line,401704.0,2020
2020 Week 02,Green line,426751.0,2020
2020 Week 03,Red line,436427.0,2020
2020 Week 03,Green line,453378.0,2020
2020 Week 04,Red line,438798.0,2020
2020 Week 04,Green line,466044.0,2020
2020 Week 05,Red line,460495.0,2020
2020 Week 05,Green line,482333.0,2020
2020 Week 06,Red line,460914.0,2020
2020 Week 06,Green line,459207.0,2020
2020 Week 07,Red line,448811.0,2020
2020 Week 07,Green line,462651.0,2020
2020 Week 08,Red line,461085.0,2020
2020 Week 08,Green line,462784.0,2020
2020 Week 09,Red line,437082.0,2020
2020 Week 09,Green line,461774.0,2020
2020 Week 10,Red line,472655.0,2020
2020 Week 10,Green line,441958.0,2020
2020 Week 11,Red line,347419.0,2020
2020 Week 11,Green line,337090.0,2020
2020 Week 12,Red line,94591.0,2020
2020 Week 12,Green line,77471.0,2020
2020 Week 13,Red line,64188.0,2020
2020 Week 13,Green line,45190.0,2020
2020 Week 14,Red line,30357.0,2020
2020 Week 14,Green line,21298.0,2020
2020 Week 15,Red line,31902.0,2020
2020 Week 15,Green line,19793.0,2020
2020 Week 16,Red line,29666.0,2020
2020 Week 16,Green line,19727.0,2020
2020 Week 17,Red line,33589.0,2020
2020 Week 17,Green line,21657.0,2020
2020 Week 18,Red line,30363.0,2020
2020 Week 18,Green line,22958.0,2020
2020 Week 19,Red line,37373.0,2020
2020 Week 19,Green line,24953.0,2020
2020 Week 20,Red line,42233.0,2020
2020 Week 20,Green line,28056.0,2020
2020 Week 21,Red line,57828.0,2020
2020 Week 21,Green line,39490.0,2020
2020 Week 22,Red line,70711.0,2020
2020 Week 22,Green line,50934.0,2020
2020 Week 23,Red line,66098.0,2020
2020 Week 23,Green line,50356.0,2020
2020 Week 24,Red line,91498.0,2020
2020 Week 24,Green line,70689.0,2020
2020 Week 25,Red line,104738.0,2020
2020 Week 25,Green line,93298.0,2020
2020 Week 26,Red line,111503.0,2020
2020 Week 26,Green line,100606.0,2020
2020 Week 27,Red line,132545.0,2020
2020 Week 27,Green line,127756.0,2020
2020 Week 28,Red line,144676.0,2020
2020 Week 28,Green line,127505.0,2020
2020 Week 29,Red line,147109.0,2020
2020 Week 29,Green line,134146.0,2020
2020 Week 30,Red line,153043.0,2020
2020 Week 30,Green line,146794.0,2020
2020 Week 31,Red line,175329.0,2020
2020 Week 31,Green line,154650.0,2020
2020 Week 32,Red line,173546.0,2020
2020 Week 32,Green line,151141.0,2020
2020 Week 33,Red line,166560.0,2020
2020 Week 33,Green line,161421.0,2020
2020 Week 34,Red line,176256.0,2020
2020 Week 34,Green line,156507.0,2020
2020 Week 35,Red line,183972.0,2020
2020 Week 35,Green line,168074.0,2020
2020 Week 36,Red line,181996.0,2020
2020 Week 36,Green line,182181.0,2020
2020 Week 37,Red line,196461.0,2020
2020 Week 37,Green line,189424.0,2020
2020 Week 38,Red line,183897.0,2020
2020 Week 38,Green line,175859.0,2020
2020 Week 39,Red line,158777.0,2020
2020 Week 39,Green line,163607.0,2020
2020 Week 40,Red line,167616.0,2020
2020 Week 40,Green line,167033.0,2020
2020 Week 41,Red line,174748.0,2020
2020 Week 41,Green line,175280.0,2020
2020 Week 42,Red line,164088.0,2020
