Motor_energy_type,Country_code,2013_value,2014_value,2015_value,2016_value,2017_value,2018_value,2019_value,2020_value,2021_value,2022_value
Diesel,AT,181061.0,172574.0,180510.0,189139.0,175590.0,141159.0,130468.0,99196.0,71808.0,61537.0
Diesel,BA,4049.0,4097.0,3835.0,4932.0,5123.0,2363.0,4685.0,3481.0,3385.0,3058.0
Diesel,BE,319863.0,303953.0,305838.0,285653.0,259790.0,202272.0,179716.0,151970.0,103914.0,70559.0
Diesel,CH,119767.0,117318.0,132789.0,130457.0,118800.0,95911.0,89133.0,64475.0,51736.0,45069.0
Diesel,CY,1255.0,3184.0,4157.0,5327.0,5450.0,5264.0,4532.0,3065.0,1460.0,541.0
Diesel,DE,1403113.0,1452565.0,1538451.0,1539596.0,1336195.0,1129025.0,1230267.0,949336.0,691261.0,642418.0
Diesel,DK,57435.0,59545.0,64203.0,80216.0,77493.0,72475.0,60475.0,46295.0,26648.0,17441.0
Diesel,EE,7345.0,7726.0,6949.0,6393.0,6409.0,6527.0,6414.0,5123.0,5242.0,4256.0
Diesel,FI,38697.0,41404.0,38844.0,39556.0,36216.0,29071.0,22022.0,14567.0,11252.0,7447.0
Diesel,FR,1182129.0,1129453.0,1089403.0,1032695.0,1014418.0,859623.0,773411.0,539142.0,399164.0,273570.0
Diesel,HR,31046.0,50861.0,56807.0,74421.0,71385.0,97276.0,98343.0,62972.0,8904.0,7788.0
Diesel,HU,25769.0,30219.0,32271.0,34700.0,37039.0,32655.0,32299.0,31606.0,27065.0,20567.0
Diesel,IE,54428.0,61917.0,92436.0,105257.0,87644.0,70743.0,59884.0,41688.0,40292.0,31336.0
Diesel,IT,707641.0,757895.0,887074.0,1058886.0,1130434.0,1000494.0,793367.0,505406.0,403271.0,315710.0
Diesel,LI,858.0,800.0,937.0,985.0,849.0,644.0,663.0,422.0,355.0,315.0
Diesel,LT,7019.0,6879.0,7690.0,7587.0,7865.0,7210.0,7262.0,7042.0,4706.0,3183.0
Diesel,MD,12453.0,12611.0,8407.0,7908.0,24132.0,13821.0,17550.0,17019.0,21624.0,16781.0
Diesel,MT,5267.0,5768.0,2712.0,2603.0,2616.0,2412.0,2088.0,1062.0,595.0,497.0
Diesel,NL,103557.0,105014.0,129768.0,72355.0,72265.0,56996.0,32685.0,12963.0,6920.0,4638.0
Diesel,NO,83067.0,76478.0,76985.0,53516.0,44498.0,34305.0,28398.0,19709.0,11972.0,8148.0
Diesel,PL,468097.0,470967.0,481006.0,530548.0,500112.0,536800.0,498613.0,413508.0,107852.0,99869.0
Diesel,RO,31501.0,39797.0,44904.0,48696.0,54178.0,53618.0,44078.0,34963.0,24057.0,19178.0
Diesel,SE,176485.0,188998.0,207091.0,202383.0,192191.0,138666.0,123708.0,67981.0,53988.0,36432.0
Diesel,SI,28016.0,29763.0,31031.0,32589.0,32410.0,23877.0,21499.0,16918.0,11743.0,7739.0
Diesel,TR,383904.0,364242.0,462191.0,460829.0,457069.0,320452.0,211961.0,247626.0,149611.0,107792.0
Electric,AT,654.0,1281.0,1677.0,3826.0,5433.0,6757.0,9242.0,15972.0,33366.0,34165.0
Electric,BA,0.0,0.0,1.0,0.0,7.0,2.0,13.0,8.0,28.0,33.0
Electric,BE,501.0,1167.0,1360.0,2061.0,2717.0,3763.0,8892.0,15044.0,22774.0,37760.0
Electric,CH,1393.0,1948.0,3882.0,3525.0,4929.0,5411.0,13197.0,19753.0,32041.0,40518.0
Electric,CY,8.0,1.0,4.0,7.0,18.0,5.0,58.0,42.0,78.0,401.0
Electric,DE,6051.0,8522.0,12363.0,11410.0,25056.0,36062.0,63281.0,194163.0,355961.0,470559.0
Electric,DK,533.0,1564.0,1265.0,1265.0,691.0,1544.0,5501.0,14218.0,24876.0,30799.0
Electric,EE,130.0,331.0,30.0,32.0,26.0,83.0,77.0,344.0,487.0,693.0
Electric,FI,50.0,183.0,243.0,223.0,502.0,776.0,1897.0,4245.0,10153.0,14531.0
Electric,FR,8781.0,10567.0,17269.0,21758.0,25368.0,31687.0,43564.0,112499.0,165566.0,207171.0
Electric,HR,3.0,47.0,80.0,66.0,55.0,182.0,279.0,639.0,1121.0,1062.0
Electric,HU,10.0,32.0,116.0,176.0,749.0,1300.0,1834.0,3047.0,4313.0,4707.0
Electric,IE,49.0,194.0,494.0,402.0,631.0,1252.0,3665.0,4075.0,9199.0,15872.0
Electric,LI,14.0,18.0,30.0,46.0,57.0,48.0,97.0,164.0,292.0,317.0
