Number,Rating,Review
1,Excellent,"Flight was on time, aircraft clean, very good crew, good leg room for an hour flight, smooth and good information from the cockpit and cabin crew. Paid £98 return, and was sucked into paying for a window seat at the front by communications from Ryanair before I travelled, classic ancillary revenue emails, and they worked!! I had a fare that permitted one cabin bag and one check-in bag, looking at the cost of the same on BA/EI the saving was massive, and to be honest for an hour who cares what food and drink you have to buy!! Well done Ryanair, def use you again, most impressed."
2,Excellent,"Great value flight at the right time from the local airport, staff are always friendly and helpful and it suits our needs, nothing wrong with that."
3,Excellent,"We fly with this airline regularly and couldn’t fault them. The staff are very courteous and friendly, the flights are usually on time, we’ve never had any issues with getting a compensation after a couple of delayed flights. Our recent flights to/from Madeira arrived on time, we felt very safe with the skilled captain - Madeira airport can be tricky, however, the landing was smooth."
4,Excellent,"I recently flew with Ryanair, and I was impressed by the overall experience. The airline offers a no-frills, cost-effective option for travel without compromising on efficiency. The booking process was straightforward, and their commitment to punctuality was evident throughout my journey."
5,Excellent,"The cabin crew was professional and friendly, making the flight enjoyable. Despite the affordable prices, the seating was comfortable enough for the duration of the flight. The airline's dedication to keeping costs low is reflected in their transparent pricing model, allowing passengers to tailor their experience according to their needs."
6,Excellent,"While additional amenities may come at an extra cost, I appreciate the flexibility this provides for travelers who prioritize budget-friendly options. Overall, Ryanair provides a reliable and economical choice for those looking to travel without breaking the bank."
7,Excellent,"I travel very often with Ryanair and it is a very reliable airline. 90% of the time there are small or no delays. On the airplane the legroom is very often bigger than of some regular cost airlines. Meal is not included in the price , but many regular cost airlines are offering also nothing (like TAP Portugal) or something completely tasteless. In reality you get with 50% lower price almost the same service as the average airlines.This flight from Thessaloniki to Stockholm was also a pleasant experience just as usual, with a very cheap price. Value for money airlines."
8,Excellent,"Having been a regular customer with Ryanair ove the years, I know what to expect, you get what you pay for, no bells and whistles!
It's convenient and cheap with very few problems.
Our flight was as comfortable as it could be and even got us there 30 mins early, so can't complain.
If you want something fancier than go elsewhere, it's a budget airline and that's exactly what you get."
9,Excellent,"We flew to Berlin and back with Ryanair. We couldn’t fault them. They were punctual, well organised and the cabin crew were lovely. A positive flying experience."
10,Excellent,"Excellent value for money. It’s basic, no frills & great for short flights. Service was great - on time, staff were nice & friendly & it was clean. App is really helpful, we got regular updates & email reminders too. Simple, straightforward & no headache - we travelled as a family with 3 kids under 7"
11,Excellent,I made a BIG mistake on my personal details when making the booking online and MARLENA sorted it out for me. Many thanks for your priceless help.
12,Excellent,"Flight to Alicante. 18.05 from Bristol, flight was slightly delayed due to maintenance. The lead cabin crew fully informed all passengers. Lead cabin crew was very joyful, polite and positive. A great leader."
13,Excellent,I was dreading flying Ryan Air after being a BA loyal customer but I can honestly say it was a really positive experience.
14,Excellent,"As always, we got everything we booked and a cheap flight that was on time.
Checking in our bag was fast and easy, too."
15,Excellent,"I must say I have flown many times with Ryanair , the price and service has always been excellent . I love their app also ,great for check ins . It’s 10/10 from me"
16,Excellent,"Surprised once again by Ryanair. Departed on time.- Excellent departure process.
Did a return as well - same experience- they arrives 30 mins early"
17,Excellent,Saw loads of bad reviews before flying with Ryanair and I can honestly say nothing bad at all flight on time no delays the staff were lovely I would 100 percent fly again also I had enough leg room
18,Excellent,I cannot fault Ryanair. The staff were brilliant and the flights enjoyable. I would definitely recommend.
19,Excellent,"Better legroom and cleaner than Emirates that charge much more .!
Though flight one way was delayed , yet worth flying with Ryanair - value for money !"
20,Excellent,"Amazing flying with ryanair, our printed boarding passes didn't work in Luton but they sorted them quickly. Polite and Amazing staff in airport and on plane"
21,Excellent,"We flew CGN-OPO-DTM on Ryanair and I can't complain. I got everything I booked, the flight was cheap, the flight times suited our plans and the flights were on time. I'd fly Ryanair again."
22,Excellent,Excellent service and staff in very difficult circumstances with so many delays and cancellations and updated info sent directly to phone which did not appear on Nice Airport information
23,Excellent,We had a very good flight to say it was 30 minutes late into palma we had quick turn around and we was only 10 minutes will fly with ryanair.com anytime from leedsand bradford and palma
24,Excellent,"Better legroom and cleaner than Emirates that charge much more .!
Though flight one way was delayed , yet worth flying with Ryanair - value for money !"
25,Excellent,"I'm flying more than 10 years with Ryanair. Never had any issues. It's not luxuruous and you have to pay a bit of attention when booking/checking in, but overall it's fantastic value for money."
26,Excellent,Ryanair continue to provide fast efficient service. people who complain about this airline don't remember what it was like to fly from ireland at for really high prices. Ryanair offer a freat service and great value for money
27,Excellent,As usual Ryanair was the best price in the market fab flight from Bristol on time landing and nothing more to say. Cheap & cheerful but great value for money
28,Excellent,Great value for money; cheap and quality flight; no waiting:polite staff; cheap food and drinks; recomand
29,Excellent,It was alright my family and I thought it was ok I don’t know what you guys are talking about bad experience
30,Excellent,"World class and super affordable flight experience. Flight to and from Pula, Croatia to Stansted, UK."
31,Excellent,"By far the best airline, the food is amazing, the crew is amazing and by far the best thing about Ryanair are the prices."
32,Excellent,"Very good support center immediately responsive to calls Friendly staff, good flight, despite the delay, very punctual"
33,Excellent,Just like to say absolutely brilliant service special assistances does i was well happy with there service First class
34,Excellent,"Can’t fault Ryanair, flown on nearly 500 Ryanair flights in the last 15 years and never encountered a problem. Highly recommended."
35,Excellent,"I was concerned after reading negative reviews about list baggage or cancelled flights, but no problem at all, would definitely use again."
