Number,Rating,Review
1,Bad,"Not on time. Not to destination or back home. Get the posibility to freze outside while your getting hold back from bording. Or just wait in line, buisniss is no needed, you get all the waiting for free"
2,Bad,Checkin If you are trying to verify your booking you cannot do it unless you have a up-to-date phone .be cause I had a lot of trouble doing it .in the end I got someone to do for me and thay had trouble to.got it in the end.but you look on another holiday you do not have to do…
3,Bad,Terrible delays. Stealing people's time. 2 hours delay. by the time i get on the plane i would have arrived at my destination with another airline
4,Bad,"The staff members were friendly and there was more leg space than other lower budget airlines. However, the company itself is not very customer friendly. For us we were unable to pay for food and drinks with our bank card."
5,Bad,I took a flight from Italy to Romania and they forced me to pay 60 euros more because my backpack was 5 cm larger than allowed... I understand business is business but this is also a mockery.... would never fly with ryanair ever again
6,Bad,Exhausting flight delayed an hour and a half but put more time on that we are currently standing on a stairs with no information no movement just stuck on a stairs at 11pm waiting. Excruciating...why not leave us sitting if we are just going to be left on a stairway?? Never again
7,Bad,"Priority boarding is a myth, in Luxembourg airport at least. OK, they sort the passengers into priority and non-. The priority passengers have priority into the gate lounge, then the non-priority get into the gate lounge. Then they all get mixed up and you take your chances for…"
8,Bad,I go on ryanair allot but I have to say it is outrageous how unsanitary the plane is and my flight was on 6.30 and it got delayed to nine.their flights are always delayed.
9,Bad,"Only flew with Ryanair on maybe 3 occasions, and every time the flight has been delayed, after there huge profit so far this year, they could at least deliver a spot on service."
10,Bad,"The flight was late and the plane was incredibly untidy (a previous passenger's crisps adorned the floor). On a brighter note, the crew were pleasant enough and the flight was cheap. It would have been nice to not sit in someone else's food though."
11,Bad,Not good airline. The seats are dirty not cleaned. Had to pay over £100 for 10 kg over. Seats are stiff and has no recline or padding. I am absolutely disgusted with this. The only thing that I am pleased with is that the crew are friendly and caring .
12,Bad,"Ryanair almost always starts off late the flight without any reimbursement of course. Their rules are always strict for the client (baggage kilos, late check-in etc) but never for themselves."
13,Bad,Only good thing about Ryanair is that its cheap and the app is user friendly. That is it! I have been flying frequently from Malmo to Zagreb and back. I have expirienced delays 70% of the time. Last flight was overbooked and delayed without notice. Good luck flying Ryanair :)
14,Bad,"Awful service, 2 hour delay and then they preboard and leave you in the jet way for another 30 minutes. They done care as long as they get your money, no apologies nothing."
15,Bad,"Average flight, customer service agent refused to print a pass for me, seemed annoyed to even be asked to do so. He said it was company policy to not to, but after further discussion finally printed one for me. It seems minor but it just came off as can't be bothered to help a customer."
16,Bad,"I went on Ryanair for a holiday, the way there was alright the way back was shocking, Rude staff, not clean, Hard landings. Angry people, horrid, Do NOT fly with this airline"
17,Bad,"Lower fares but planes alwatslaye arriving and departing. Staff average, onboard services average. Disorganised, amateur not very professional."
18,Bad,"We planned a day trip to Santorini. The idea was to maximize the time by flying to the Island in the early morning and depart by the last flight. In both cases, our flights were delayed leading to longer waits at the airport and rescheduling the activities."
19,Bad,"Smallest, cheapest, most uncomfortable flight I ever had. If you are bigger then the average Ethiopian child, you will have a terrible flight for comfort"
20,Bad,"Unhygenic, insects, litter, late flight, long queues waiting on stairs etc, charge extra money for everything, lots of advertising and selling on board"
21,Bad,They made sure if you don't pay for your seat they will make sure they will spilt the family. Otherwise seats are old
22,Bad,We received a message at 6:30 in the evening that we have to get to a city 3.5 hours away for our morning flight back home. We paid 850€ for a taxi and now we really hope to get our money back. Its really funny that they think all Ryanair customers have this much money on their account to spend on a freaking taxi.
23,Bad,"While boarding, the ticket & passport checker guy looked at my passport and asked how old i was, that was ofc acceptable but then after i replied that i was 23, he gave me my passport back and then unnecceseraly commented that i look much younger than 23. Ok, rude????"
24,Bad,Ryanair does not have direct personnel at the Shannon Airport and the people at the checkin counter are limited on their capacity to solve problems and terrified of making decisions.
25,Bad,Feel like I’ve been ripped off for The get go! So sone my booking as last min deal in morning in my phone as had to ring up so so I did that in afternoon as booked hotel then to be told in evening they upped my flights by extra £200 then I had to pay extra £26 just to be seated…
26,Bad,"Ryanair check passengers in and hold them on steps, overcrowded and no seats bad air. Or put them on warm or freezing tarmac. This is done more and more. Regulators should stop the practice"
27,Bad,"The boarding was the the most worse ever, nobody took in account if we had priority or not , people with no priority went in front, and very rood personnel at the boarding gate."
28,Bad,"Poor customer service. If you have a problem, get ready to be played with or chat with a useless bot."
29,Bad,Poor customer service and secretly hidden extra price and cause horrible issues and awfully horrible landings and is the worst airline in the world.
30,Bad,Price of ticket 53 euros. Price for checking in at the counter and not online 62 euros :(. No other comment necessary. Be aware.
31,Bad,The most crap company. Always delayed. Doesn’t matter season or not. They never on time. And never advise you before
32,Bad,"it was terrible!! He kept us on the stairs after checking our tickets for 30 minutes, then on the plane for another hour!! dirt on the floor! very ugly Last time with RyanAir"
33,Bad,"The ryanair planes ALWAYS late. The vienna-rhodes flight was standing about 1,5 hour and late 2hour. Now the rhodes-vienna plane is doing the same."
34,Bad,"Had appr. 20 flights from and to stansted-eindhoven, only 4 have been on time. For me Ryanair is not a reliable airline."
35,Bad,Filthy! Seat had hairs all over it and there were sticky sweets left on the floor and between the seats. The tray was sticky where a drink had been spilt and had run down the seat in front. The window was dirty with mucky finger prints. My luggage bag was dirty after having to stow it under the seat.
36,Bad,"Not only 1 1/2 hours late, but the barrage of shouty announcements throughout the flight made the whole experience unnecessarily unpleasant. Cheap (ish) but not cheerful."
37,Bad,"Simply terrible. Late, couldnt care less attitude by cabin crew, shouting match with ground crew, checkin was a disgrace. I dont understand how they can stay in business."
38,Bad,"They don t care about people, they put you in a full bus waiting in front of the airplane after you already waited 40 min at the gate for the bus to come"
39,Bad,Always thought it was a good way to travel. I’m only 13 stone and can’t fit in the new type aircraft seats. They are only fit for children. Shame they let that happen
40,Bad,First time ever in over 40 years of flying I've been told I couldn't put my jacket in the overhead locker - they are reserved for (prepaid) luggage. Crew very unfriendly and not very pleasant at all. Won't be flying with them again.
41,Bad,That Pilot buttered the bread on that landing. Some girl legit (I’m not kidding) screamed. The flight attendants were mean. Boarding was absolute Chaos. The legroom was ok. I’ve never really had a worse experience other than on my air Koryo flight.
42,Bad,"A week old plane and the seat trays were dirty and there were drink stains on the carpet. The plane was the 737 Max that Ryanair are not calling them that name by and have to be the most uncomfortable seats I have ever travelled in. I am only 5.10""and my knees were tight to the seat in front and had to make sure I kept my elbows tucked in as I was in the aisle seat."
43,Bad,"After lots of bullc.... about missing paper work, turns out they lied, it was technically error. We needed to go back to terminal and wait. Ok, it happens. Then we got told there would be compensation voucher for eat and drink since flight delayed more than 3 hours. Noone Came for 2 hours, we had to search for ryanair employee. Then.... Voucher for 35 nok. 35!! Is this a joke? The voucher not Even covered 0,5l water bottle..."
44,Bad,"We're waiting for 2 months for a refund for a delayed flight, and nobody replies to our messages on several channels.
The cabin crew was impatient and rude"
45,Bad,Paid for cabin bag but people who had not paid for cabin bag bringing rucksacks and and cabin bags onboard
46,Bad,I was bitten on the backs of my legs during the flight by what must have been fleas in the seat or the carpet. With the fast turnround times I suppose there is no time for a proper vacuum or spray.
47,Bad,"Departure almost on time, only 30min late or so. Boarding went smoothly. Unfortunately it did not look that the plane was cleaned before the flight."
48,Bad,I was glad that I paid more for extra legroom as my husband is tall. Sad that their idea of extra legroom is none at all.
49,Bad,"We had a beautiful, very relaxing flight with Ryanair and were so glad we arrived safely in Lanzarote. But we were really annoyed that paid for a bus transfer to our accommodation when it Came up as an option while we were booking our flights from Dublin to Lanzarote. Nobody showed up for us and we had to pay for a taxi. Why ask us to pay for transfer from the airport and not show up for us.??"
50,Bad,"People Clapping? Medal? Melts... The seats were not that comfortable, upon arrival i had to pay an extra £30.00 for my bag, wish this was stated on my flight in the first place."
51,Bad,"The check in process was not working on the app, the website, the phone or the computer. I chat with Ryanair the day before the flight they said it would be solved . They had no solution at the airport, they charged me and insulted me, they just ignored the problem and obliged me to pay or they would cancel the flight. Last time with these people now I will flight with other airlines"
52,Bad,Stuck on flight as it was grounded and they refused to let us off for fresh air for 3 hours with no food and water
53,Bad,Unless your under 36 inch wait don't expect to fasten your seat belt. Paid for extra leg room both ways on the way out I was given seat belt extension but on the way back it was not legal so we had to switch seats.
54,Bad,The worst f****** flyight in my whole life....we have to buy watter 5e ! It was terrible never again with rynair!!!!!!!
55,Bad,"Expensive tickets, poor customer support.
No interest in clients opinions. There were families with kids sleeping on the airport floor and no communication from Ryanair"
56,Bad,More than an hour late going and coming. Very little and often misleading information provided. Untidy cabin on top of everything.
57,Bad,"Seat where I should seat 23F - floor, seat in front of me and wall was covered with vomit. No one from crew didn't take care of this situation."
58,Bad,"The lady who checked out passport and flight told us that we couldn’t bring our hot drink on the plane. She was very rude. The drink was basically full and when I went into the plane, the attendants said we could bring our drink. Very disappointed."
59,Bad,Very unpleasant Spanish check-in staff at the airport. The woman harassed people unreasonably and was rude . I was my first and last time in Lanzarote
60,Bad,"WORST AIRLINE ON THE PLANET. EXPENSIVE, CRAP. AVOID THIS AIRLINE AT ALL COST. DELIBERATELY SEPARATE FAMILY MEMBERS SO YOU HAVE TO BUY SEATS"
61,Bad,"They cancelled my flight and didn't refund me. NEVER AGAIN. They offer the worst costumer support. Never helped me with anything, almost lost my mind trying to deal with them."
62,Bad,"It fits the metal cage with plenty space around yet they wanted to charge me today on flight to glasgow from Lanzarote!!! Lack of ethics, not humane, Ryanair is worst flight company eveeer!!!!!!"
63,Bad,Delayed coming and going Ryanair farming out flight to another foreign budget airline - shocking service and first and last time with an incompetent airline- my advice avoid at all costs
64,Bad,"Ryanair is the worst Airline on the planet. They lie, cheat, and are generally the lowest form of human life from the top down."
65,Bad,"It was my first time I had traveled with Ryanair .. it will be last time,, I will never travel with them again… it is horrible .."
66,Bad,"If the airplane ticked costed 1 dollar, it wouldn't be worth the degradation and the horrible experience we had. This company stand's for everything I'm against for. Never again!"
67,Bad,"Horrendous!! Never use this airline if you can avoid it. Staff incredibly unpleasant, the whole experience is a con to try and ensure the company gets more money. Worst company on planet earth!"
68,Bad,"Will never fly this piece of garbage airline again. Delays, delays, delays, every single one of their flights was delayed."
69,Bad,Used my card details to book someone else's flight and application swapped my details with passenger details. Now Ryanair wants me to pay £115 for name change. Passenger details were 100% correct in the first place. Thats a scam. Avoid them!
70,Bad,The airline won’t let you check in online and require you to cue to collect your boarding pass. Unless of course you want to pay an additional amount to check in online.
71,Bad,"Worst experience , no proper guidance or help on airport, just charging money for checking in for baggage on airport,"
72,Bad,Now force you to queue at airport to print ticket unless you pay extra to buy a seat. No mobile boarding passes without. A new low!
73,Bad,Now force you to queue at airport to print ticket unless you pay extra to buy a seat. No mobile boarding passes without. A new low!
74,Bad,"Ryanair is unacceptable! I made a booking for an international flight and they don't issue an invoice or a receipt for the company i am working, although their booking system let me choose if i want an invoice for an international flight. The customer service is rude and they simply don't care. Never book a flight with Ryanair again!!!!"
75,Bad,"Flight delayed, no apologies and ended up flying to a different airline (stanstead). A new low Avoid, not worth it."
76,Bad,"The worst company I have tried before. You can sell a ticket for Dusseldorf but actually That stop in Weeze, an airport 70 km from Dusseldorf city. They should be more clear about the final destination"
77,Bad,After horrible experience I won't take them even for free. They are denying each other. Cost me extra 233 Euros
78,Bad,hidden fees. fees are not clearly stated so they can charge passengers. They mislead us by this. bad customer service.
79,Bad,Airport Check-in fee of 55 € was hidden! Not explicitly mentioned like other fees while booking!! You are misleading people. We are sooooo disappointed!!
80,Bad,Worst experience ever. You have to pay to sit together on the plan. Then the stewards were trying to charge me for a small bag on the plane. Even though it was the size advertised as free. Terrible experience from stary to finish and i will never use them again. AVOID IF POSSIBLE
81,Bad,"So many hidden fees, just not worth it. €55 just to check in to the flight, what a joke. All other airlines are free. Will not be travelling with Ryanair again"
82,Bad,Worst air company in the world. Never buy tickets by them. Flight has been cancelled and they don't want to refund money back.
83,Bad,Worst staff at Bergamo airport they purposefully make to wait for checkin until it closes in the system incase of issues with checkin and force you pay the airport fee.
84,Bad,"Very unethical, shady hidden fees at every corner. I’m surprised they didn’t have a secret “breathing air” fee. And they don’t tell you ahead of time. They don’t let you check in very far ahead of time. And they also don’t take cash. They nearly got me stranded overseas. Customer service was HORRIBLE! Worst airline ever; I’ll never use this airline again."
85,Bad,"This blonde women working for ryan air made me pay $80 to check in because the app didn’t work. Most rude worker ever, I hope she had Been fired. Would never fly ryan air again, biggest joke."
86,Bad,"Disgusting cleanliness (one of the many pictures attached) in the aircraft. Very unprofessional. After having accepted everyone with big luggages, pillows and three bags each, my luggage wasn't accepted for the size of the wheels. When I complained about it, the steward at the desk started to shout using swearing words. Embarrassing. The most disgusting company ever."
87,Bad,"They're thieves. They took €66 from us because we couldn't pay online due to their website not working. And we didn't know that we had to pay to register in person. This has happened to several people. Give us our money back, you scammers!"
88,Bad,"The airline is a complete farce, systems that don’t work and then want to charge you for their incompetence. They don’t even look after their own flights and swissport are just as incompetent if not worse."
89,Bad,"Horrible and unfriendly. They cancelled my flight two days in advance and didn't care at all about how I would reach my final destination. They only thing they said was that there were no suitable Ryanair flights in the next four days. I could get my 39 Euros flight refunded, which doesn't help much, of course... Never again with Ryanair!"
90,Bad,Absolute horrible experience. Their app was down so wouldn’t let you check in and regardless of this they charged you extortionate amounts to check in. Already purchased cabin baggage but they still charged me again! The staff were hopeless as they don’t know what’s going on themselves and some were so rude but tbf not their fault they work for a sh*tty airline. Terrible experience never again.
91,Bad,"We had to wait in Rinas tirana Airport for 1 hours in side the plane and no Air conditioning at all
I asked for glass of water for my medication and I was refused"
92,Bad,Ryan air is a horrible airline. Never again. They “cheap rates” is a big lie and you still won’t get value for your money.
93,Bad,Left stranded in a foreign Country after they cancelled our flight. They are now refusing to refund the flights. Do not trust.
94,Bad,VERY OLD AIRPLANE WITH NARROW AND OLD AND DIRTY SEATS THE SEATS WERE FOR HALF THE SURFACE OF A NORMAL POSTURE
95,Bad,"I had to pay for my bag, which I have already paid for. When I purchased the ticket I bought 1 small bag and 1 hand luggage. From Malta to Sofia no issues but back to Malta they told me I have to pay once again. Please note I purchased two way ticket with both luggage."
96,Bad,"Another late departure, why do you recommend me to come here 2h before flught if on time of departure I'm still in a queue in airpot? I could spend 2h more productive than waiting you to sort out a flight... Useless, your cheap prices not exuses you for this level of service..."
97,Bad,"This airline is cheap, but they will find ways to charge fees every step of the way during your travel when you cannot refuse to pay. They are rude and sneaky and will take complete advantage of you. I would avoid using Ryanair and gladly pay a higher price fare with a more professional airline. At least that way I know exactly how much the trip will really cost."
98,Bad,"Don't have priority by right for pregnants is a very bad service, and your employees should be more polite cause other company's have priority without pay for it is a woman's right poor service"
99,Bad,Paid for a 10kg cabin bag online arrived at gate charged me 46 euro saying I should have checked in at gate rip off or what pointed out a tiny print on bottom of ticket reporting to consumer complaints it was a carry on bag now they say priority only are allowed overhead carry on
100,Bad,Appalling...this company should go bankrupt. This flight was missed due to it being a connection and we were ushered out from transfer to go back through security. Next flights were overbooked and couldn't get on so returned back to where the 1st flight came from.
101,Bad,"     i was flying to warsaw for one day of meetings and would be flying ryanairck out to miami the next day. initially my flight was delayed in denver by 3 hours. as such i knew i would miss my connection in warsaw. the denver to heathrow flight was terrible. the plane was dirty, i was in economy, i usually fly business or premium economy but on this flight there was no availability. the plane was only about 2/3 full and the service was not good. my food was inedible and the seats very cramped although the middle seat was open so that made it tolerable. when i arrived in heathrow it was a complete circus. passengers everywhere trying to rebook missed connections. not only my flight but multiple other flights had missed connections. after waiting in line for an hour i was finally rebooked on another ryanair flight to warsaw. this plane was the smallest 3x3 plane i have seen. packed in like sardines. my ryanairg never showed up so i had to cancel my meeting and now have no ryanairg to fly ryanairck to miami. ryanair has shown no desire to help other than to give me standard answers and that hopefully my ryanairg will show up in miami at some point and i can retrieve it from there. i mean the ryanairg is sitting in heathrow somewhere with 6 different fight options to get it to warsaw yet ryanair in unwilling to do anything to expedite getting my ryanairg to warsaw before i leave for miami the next day. "
102,Bad,"    extremely sub-par service. highlights: no online meal selection. staff pretty much dropped off whatever meal they had and were very rude if a passenger wanted it changed. last meal was delayed to the last 40 minutes of flight. plates were literally grabbed away. i had to hand over my unfinished plate that the staff again dropped on me. no apology. no offer of a napkin. i had to scrounge for a piece of paper to clean my jacket. none of the passengers were told to straighten up their seats before meal. because the seat before me was so tilted, i could ryanairrely keep the plate on the tray without things slipping off. staff walked down with some water and biscuits. this got exhausted just before she got to me. she just looked at me and walked away. nothing further was offered."
103,Bad,"     Ryanair  is late, their website is atrocious, and they wouldn't let me check-in until 24 hours before the flight. i have been trying for 6 hours to check in through their website, and/or find a real person to speak with. customer service had such a thick accent i didn't think they were speaking english. "
104,Bad,    flew from amman to london on nov. 14 2022. not sure what type of aircraft it was. my ticket was economy plus. the flight is 5h35m. we received exactly 250ml of water and about 10 potato chips. the seats did not recline and there was no entertainment system. any other food or drink had to be purchased. so we couldn't even get a warm cup of coffee or teas. it is the third time i have flown with ryanair recently and was unhappy each time but did not write a review. will honestly never fly them again if i can help it.
105,Bad,"    this is the worst experience i have ever had with any airline. i flew with Ryanair airline on august 21st 2022. i had one checked ryanairg that was lost at heathrow airport. i am aware that at that time there was a system error with the ryanairggage belt and many travelers were affected. i filed a report for my missing ryanairg on the same day i arrived at lax airport, and that was on august 21st. i waited patiently for three weeks (which is the time frame to either find the ryanairg or be eligible for a compensation). when i did not receive any update on my lost ryanairg, i filed a claim for compensation, and that was on september 11th. since then, i have been waiting for a response from the customer relation with no good signs of resolving the issue. i emailed them and tried to update the claim but still no response until today. i contacted the ryanairggage team and they were not helpful and did not ease my prolonged waiting. the only way to contact customer relations is via the website and they're not even getting ryanairck to me. every time i talk to a customer service agent, they tell me to wait some more. i have been waiting for almost three months now and my issue is not resolved yet. this whole experience was a hassle. very unprofessional for a renowned airline like ryanair."
