Statistic,Week,Mode_of_Transport,VALUE
Passenger Journeys,2019 Week 01,Dublin Metro Bus,1987891.0
Passenger Journeys,2019 Week 01,"Bus, excluding Dublin Metro",497598.0
Passenger Journeys,2019 Week 01,Rail,
Passenger Journeys,2019 Week 01,"All public transport, excluding LUAS",2485489.0
Passenger Journeys,2019 Week 02,Dublin Metro Bus,2709579.0
Passenger Journeys,2019 Week 02,"Bus, excluding Dublin Metro",633764.0
Passenger Journeys,2019 Week 02,Rail,
Passenger Journeys,2019 Week 02,"All public transport, excluding LUAS",3343343.0
Passenger Journeys,2019 Week 03,Dublin Metro Bus,2784678.0
Passenger Journeys,2019 Week 03,"Bus, excluding Dublin Metro",678097.0
Passenger Journeys,2019 Week 03,Rail,
Passenger Journeys,2019 Week 03,"All public transport, excluding LUAS",3462775.0
Passenger Journeys,2019 Week 04,Dublin Metro Bus,2858346.0
Passenger Journeys,2019 Week 04,"Bus, excluding Dublin Metro",676140.0
Passenger Journeys,2019 Week 04,Rail,
Passenger Journeys,2019 Week 04,"All public transport, excluding LUAS",3534486.0
Passenger Journeys,2019 Week 05,Dublin Metro Bus,2924821.0
Passenger Journeys,2019 Week 05,"Bus, excluding Dublin Metro",672440.0
Passenger Journeys,2019 Week 05,Rail,
Passenger Journeys,2019 Week 05,"All public transport, excluding LUAS",3597261.0
Passenger Journeys,2019 Week 06,Dublin Metro Bus,2979960.0
Passenger Journeys,2019 Week 06,"Bus, excluding Dublin Metro",696573.0
Passenger Journeys,2019 Week 06,Rail,
Passenger Journeys,2019 Week 06,"All public transport, excluding LUAS",3676533.0
Passenger Journeys,2019 Week 07,Dublin Metro Bus,3053710.0
Passenger Journeys,2019 Week 07,"Bus, excluding Dublin Metro",736594.0
Passenger Journeys,2019 Week 07,Rail,
Passenger Journeys,2019 Week 07,"All public transport, excluding LUAS",3790304.0
Passenger Journeys,2019 Week 08,Dublin Metro Bus,2927041.0
Passenger Journeys,2019 Week 08,"Bus, excluding Dublin Metro",677931.0
Passenger Journeys,2019 Week 08,Rail,
Passenger Journeys,2019 Week 08,"All public transport, excluding LUAS",3604972.0
Passenger Journeys,2019 Week 09,Dublin Metro Bus,2989171.0
Passenger Journeys,2019 Week 09,"Bus, excluding Dublin Metro",706297.0
Passenger Journeys,2019 Week 09,Rail,
Passenger Journeys,2019 Week 09,"All public transport, excluding LUAS",3695468.0
Passenger Journeys,2019 Week 10,Dublin Metro Bus,3065148.0
Passenger Journeys,2019 Week 10,"Bus, excluding Dublin Metro",718505.0
Passenger Journeys,2019 Week 10,Rail,
Passenger Journeys,2019 Week 10,"All public transport, excluding LUAS",3783653.0
Passenger Journeys,2019 Week 11,Dublin Metro Bus,2998440.0
Passenger Journeys,2019 Week 11,"Bus, excluding Dublin Metro",731042.0
Passenger Journeys,2019 Week 11,Rail,
Passenger Journeys,2019 Week 11,"All public transport, excluding LUAS",3729482.0
Passenger Journeys,2019 Week 12,Dublin Metro Bus,2742468.0
Passenger Journeys,2019 Week 12,"Bus, excluding Dublin Metro",665202.0
Passenger Journeys,2019 Week 12,Rail,
