Year,Country_Vehicle,value
1990,AT_BUS,11.0
1990,AT_CAR,77.1
1990,AT_TRN,11.9
1990,BE_BUS,10.6
1990,BE_CAR,83.3
1990,BE_TRN,6.1
1990,CH_BUS,3.7
1990,CH_CAR,82.1
1990,CH_TRN,14.2
1990,DE_BUS,9.1
1990,DE_CAR,85.4
1990,DE_TRN,5.4
1990,DK_BUS,11.3
1990,DK_CAR,82.4
1990,DK_TRN,6.3
1990,EL_BUS,32.4
1990,EL_CAR,64.0
1990,EL_TRN,3.6
1990,ES_BUS,14.9
1990,ES_CAR,78.1
1990,ES_TRN,6.9
1990,FI_BUS,13.5
1990,FI_CAR,81.2
1990,FI_TRN,5.3
1990,FR_BUS,6.0
1990,FR_CAR,84.8
1990,FR_TRN,9.3
1990,HU_BUS,24.8
1990,HU_CAR,60.5
1990,HU_TRN,14.7
1990,IE_BUS,11.5
1990,IE_CAR,84.9
1990,IE_TRN,3.6
1990,IT_BUS,12.9
1990,IT_CAR,80.2
1990,IT_TRN,6.9
1990,LU_BUS,10.2
1990,LU_CAR,85.3
1990,LU_TRN,4.4
1990,NL_BUS,8.1
1990,NL_CAR,85.1
1990,NL_TRN,6.9
1990,PL_BUS,28.2
1990,PL_CAR,41.3
1990,PL_TRN,30.5
1990,PT_BUS,18.4
1990,PT_CAR,71.5
1990,PT_TRN,10.1
1990,SE_BUS,9.5
1990,SE_CAR,84.1
1990,SE_TRN,6.5
1990,SI_BUS,30.6
1990,SI_CAR,62.7
1990,SI_TRN,6.7
1991,AT_BUS,10.6
1991,AT_CAR,77.0
1991,AT_TRN,12.4
1991,BE_BUS,10.7
1991,BE_CAR,83.3
1991,BE_TRN,6.1
1991,CH_BUS,3.9
1991,CH_CAR,81.1
1991,CH_TRN,15.0
1991,DE_BUS,8.5
1991,DE_CAR,84.6
1991,DE_TRN,6.9
1991,DK_BUS,11.1
1991,DK_CAR,82.9
1991,DK_TRN,6.0
1991,EL_BUS,31.8
1991,EL_CAR,64.6
1991,EL_TRN,3.6
1991,ES_BUS,13.7
1991,ES_CAR,80.4
1991,ES_TRN,5.8
1991,FI_BUS,13.1
1991,FI_CAR,81.7
1991,FI_TRN,5.2
1991,FR_BUS,6.1
1991,FR_CAR,85.1
1991,FR_TRN,8.8
1991,HU_BUS,23.4
1991,HU_CAR,63.2
1991,HU_TRN,13.3
1991,IE_BUS,11.9
1991,IE_CAR,84.3
1991,IE_TRN,3.7
1991,IT_BUS,12.7
1991,IT_CAR,80.6
1991,IT_TRN,6.7
1991,LU_BUS,10.1
1991,LU_CAR,85.4
1991,LU_TRN,4.5
1991,NL_BUS,8.2
1991,NL_CAR,82.9
1991,NL_TRN,8.9
1991,PL_BUS,25.6
1991,PL_CAR,49.8
1991,PL_TRN,24.6
1991,PT_BUS,18.6
1991,PT_CAR,71.4
1991,PT_TRN,9.9
1991,SE_BUS,9.5
1991,SE_CAR,84.7
1991,SE_TRN,5.9
1991,SI_BUS,29.3
1991,SI_CAR,66.4
1991,SI_TRN,4.3
1992,AT_BUS,10.5
1992,AT_CAR,77.0
1992,AT_TRN,12.5
1992,BE_BUS,10.7
1992,BE_CAR,83.3
1992,BE_TRN,6.0
1992,CH_BUS,4.0
1992,CH_CAR,81.4
1992,CH_TRN,14.6
1992,DE_BUS,8.3
1992,DE_CAR,85.0
1992,DE_TRN,6.8
1992,DK_BUS,15.2
1992,DK_CAR,79.0
1992,DK_TRN,5.8
1992,EL_BUS,32.2
1992,EL_CAR,64.3
1992,EL_TRN,3.5
1992,ES_BUS,13.2
1992,ES_CAR,80.8
1992,ES_TRN,6.0
1992,FI_BUS,13.0
1992,FI_CAR,82.0
1992,FI_TRN,5.0
1992,FR_BUS,5.8
1992,FR_CAR,85.6
1992,FR_TRN,8.6
1992,HU_BUS,22.9
1992,HU_CAR,63.9
1992,HU_TRN,13.2
1992,IE_BUS,12.3
1992,IE_CAR,84.2
1992,IE_TRN,3.5
1992,IT_BUS,11.6
1992,IT_CAR,82.3
