,STATISTIC,Statistic Label,TLIST(W1),Week,C03132V03784,Luas Line,UNIT,VALUE
0,TII03C01,Passenger Journeys,2019W01,2019 Week 01,-,All Luas lines,Number,549533.0
1,TII03C01,Passenger Journeys,2019W01,2019 Week 01,1,Red line,Number,274139.0
2,TII03C01,Passenger Journeys,2019W01,2019 Week 01,2,Green line,Number,275394.0
3,TII03C01,Passenger Journeys,2019W02,2019 Week 02,-,All Luas lines,Number,839022.0
4,TII03C01,Passenger Journeys,2019W02,2019 Week 02,1,Red line,Number,408199.0
5,TII03C01,Passenger Journeys,2019W02,2019 Week 02,2,Green line,Number,430823.0
6,TII03C01,Passenger Journeys,2019W03,2019 Week 03,-,All Luas lines,Number,819359.0
7,TII03C01,Passenger Journeys,2019W03,2019 Week 03,1,Red line,Number,376785.0
8,TII03C01,Passenger Journeys,2019W03,2019 Week 03,2,Green line,Number,442574.0
9,TII03C01,Passenger Journeys,2019W04,2019 Week 04,-,All Luas lines,Number,860745.0
10,TII03C01,Passenger Journeys,2019W04,2019 Week 04,1,Red line,Number,405224.0
11,TII03C01,Passenger Journeys,2019W04,2019 Week 04,2,Green line,Number,455521.0
12,TII03C01,Passenger Journeys,2019W05,2019 Week 05,-,All Luas lines,Number,912795.0
13,TII03C01,Passenger Journeys,2019W05,2019 Week 05,1,Red line,Number,441197.0
14,TII03C01,Passenger Journeys,2019W05,2019 Week 05,2,Green line,Number,471598.0
15,TII03C01,Passenger Journeys,2019W06,2019 Week 06,-,All Luas lines,Number,912612.0
16,TII03C01,Passenger Journeys,2019W06,2019 Week 06,1,Red line,Number,449398.0
17,TII03C01,Passenger Journeys,2019W06,2019 Week 06,2,Green line,Number,463215.0
18,TII03C01,Passenger Journeys,2019W07,2019 Week 07,-,All Luas lines,Number,940476.0
19,TII03C01,Passenger Journeys,2019W07,2019 Week 07,1,Red line,Number,466795.0
20,TII03C01,Passenger Journeys,2019W07,2019 Week 07,2,Green line,Number,473682.0
21,TII03C01,Passenger Journeys,2019W08,2019 Week 08,-,All Luas lines,Number,952291.0
22,TII03C01,Passenger Journeys,2019W08,2019 Week 08,1,Red line,Number,480974.0
23,TII03C01,Passenger Journeys,2019W08,2019 Week 08,2,Green line,Number,471317.0
24,TII03C01,Passenger Journeys,2019W09,2019 Week 09,-,All Luas lines,Number,929391.0
25,TII03C01,Passenger Journeys,2019W09,2019 Week 09,1,Red line,Number,468299.0
26,TII03C01,Passenger Journeys,2019W09,2019 Week 09,2,Green line,Number,461093.0
27,TII03C01,Passenger Journeys,2019W10,2019 Week 10,-,All Luas lines,Number,941919.0
28,TII03C01,Passenger Journeys,2019W10,2019 Week 10,1,Red line,Number,475467.0
29,TII03C01,Passenger Journeys,2019W10,2019 Week 10,2,Green line,Number,466451.0
30,TII03C01,Passenger Journeys,2019W11,2019 Week 11,-,All Luas lines,Number,924998.0
31,TII03C01,Passenger Journeys,2019W11,2019 Week 11,1,Red line,Number,442796.0
32,TII03C01,Passenger Journeys,2019W11,2019 Week 11,2,Green line,Number,482201.0
33,TII03C01,Passenger Journeys,2019W12,2019 Week 12,-,All Luas lines,Number,868205.0
34,TII03C01,Passenger Journeys,2019W12,2019 Week 12,1,Red line,Number,440137.0
35,TII03C01,Passenger Journeys,2019W12,2019 Week 12,2,Green line,Number,428068.0
36,TII03C01,Passenger Journeys,2019W13,2019 Week 13,-,All Luas lines,Number,1003871.0
37,TII03C01,Passenger Journeys,2019W13,2019 Week 13,1,Red line,Number,516298.0
38,TII03C01,Passenger Journeys,2019W13,2019 Week 13,2,Green line,Number,487573.0
39,TII03C01,Passenger Journeys,2019W14,2019 Week 14,-,All Luas lines,Number,933575.0
40,TII03C01,Passenger Journeys,2019W14,2019 Week 14,1,Red line,Number,457616.0
41,TII03C01,Passenger Journeys,2019W14,2019 Week 14,2,Green line,Number,475959.0
42,TII03C01,Passenger Journeys,2019W15,2019 Week 15,-,All Luas lines,Number,945662.0
43,TII03C01,Passenger Journeys,2019W15,2019 Week 15,1,Red line,Number,469346.0
44,TII03C01,Passenger Journeys,2019W15,2019 Week 15,2,Green line,Number,476316.0
45,TII03C01,Passenger Journeys,2019W16,2019 Week 16,-,All Luas lines,Number,842186.0
46,TII03C01,Passenger Journeys,2019W16,2019 Week 16,1,Red line,Number,426377.0
47,TII03C01,Passenger Journeys,2019W16,2019 Week 16,2,Green line,Number,415809.0
48,TII03C01,Passenger Journeys,2019W17,2019 Week 17,-,All Luas lines,Number,801296.0
